quality,bpp,psnr,ms_ssim
1,0.13111598918718906,27.58153675626086,0.7455201148986816
2,0.2087067880978187,29.196694055906807,0.7990961670875549
3,0.319486621961308,30.972168501114297,0.8510679602622986
4,0.4776466803159565,32.838191110682025,0.8934619426727295
5,0.6671670659755667,34.526243885844714,0.9234636425971985
6,0.937264945396843,36.74336337079314,0.9469987750053406
7,1.2566250831199188,38.58385181126974,0.9626997113227844
8,1.656353305792436,40.556874129681006,0.9742568135261536
